"","NSub","model","exp","cond","DurID","Prob","Dur"
"296",11,"Bisection Model","exp2","AF","DurProb3","0.297987316376791","800"
"297",12,"Bisection Model","exp2","AF","DurProb3","0.147098747405616","800"
"298",13,"Bisection Model","exp2","AF","DurProb3","0.294536097116712","800"
"299",14,"Bisection Model","exp2","AF","DurProb3","0.504928703353961","800"
"300",15,"Bisection Model","exp2","AF","DurProb3","0.11995740016652","800"
"301",1,"Bisection Model","exp2","DF","DurProb4","0.853678920554948","1000"
"302",2,"Bisection Model","exp2","DF","DurProb4","0.861431983489774","1000"
"303",3,"Bisection Model","exp2","DF","DurProb4","0.868521230659714","1000"
"304",4,"Bisection Model","exp2","DF","DurProb4","0.626811660929755","1000"
"305",5,"Bisection Model","exp2","DF","DurProb4","0.462160009837999","1000"
"306",6,"Bisection Model","exp2","DF","DurProb4","0.119904969905943","1000"
"307",7,"Bisection Model","exp2","DF","DurProb4","0.660532834092648","1000"
"308",8,"Bisection Model","exp2","DF","DurProb4","0.931529048827002","1000"
"309",9,"Bisection Model","exp2","DF","DurProb4","0.901708501521795","1000"
"310",10,"Bisection Model","exp2","DF","DurProb4","0.658559393601124","1000"
"311",11,"Bisection Model","exp2","DF","DurProb4","0.617720557881422","1000"
"312",12,"Bisection Model","exp2","DF","DurProb4","0.648007855883779","1000"
"313",13,"Bisection Model","exp2","DF","DurProb4","0.503579825933804","1000"
"314",14,"Bisection Model","exp2","DF","DurProb4","0.834638964363571","1000"
"315",15,"Bisection Model","exp2","DF","DurProb4","0.497040517718339","1000"
"316",1,"Bisection Model","exp2","AF","DurProb4","0.853678920554948","1000"
"317",2,"Bisection Model","exp2","AF","DurProb4","0.861431983489774","1000"
"318",3,"Bisection Model","exp2","AF","DurProb4","0.868521230659714","1000"
"319",4,"Bisection Model","exp2","AF","DurProb4","0.626811660929755","1000"
"320",5,"Bisection Model","exp2","AF","DurProb4","0.462160009837999","1000"
"321",6,"Bisection Model","exp2","AF","DurProb4","0.119904969905943","1000"
"322",7,"Bisection Model","exp2","AF","DurProb4","0.660532834092648","1000"
"323",8,"Bisection Model","exp2","AF","DurProb4","0.931529048827002","1000"
"324",9,"Bisection Model","exp2","AF","DurProb4","0.901708501521795","1000"
"325",10,"Bisection Model","exp2","AF","DurProb4","0.658559393601124","1000"
"326",11,"Bisection Model","exp2","AF","DurProb4","0.617720557881422","1000"
"327",12,"Bisection Model","exp2","AF","DurProb4","0.648007855883779","1000"
"328",13,"Bisection Model","exp2","AF","DurProb4","0.503579825933804","1000"
"329",14,"Bisection Model","exp2","AF","DurProb4","0.834638964363571","1000"
"330",15,"Bisection Model","exp2","AF","DurProb4","0.497040517718339","1000"
"331",1,"Bisection Model","exp2","DF","DurProb5","0.980198893186087","1200"
"332",2,"Bisection Model","exp2","DF","DurProb5","0.966509104520188","1200"
"333",3,"Bisection Model","exp2","DF","DurProb5","0.983971375845356","1200"
"334",4,"Bisection Model","exp2","DF","DurProb5","0.908447834289925","1200"
"335",5,"Bisection Model","exp2","DF","DurProb5","0.875553126681333","1200"
"336",6,"Bisection Model","exp2","DF","DurProb5","0.312337563539999","1200"
"337",7,"Bisection Model","exp2","DF","DurProb5","0.905221378655425","1200"
"338",8,"Bisection Model","exp2","DF","DurProb5","0.995325852366904","1200"
"339",9,"Bisection Model","exp2","DF","DurProb5","0.990343254083668","1200"
"340",10,"Bisection Model","exp2","DF","DurProb5","0.737727835401103","1200"
"341",11,"Bisection Model","exp2","DF","DurProb5","0.860165975511905","1200"
"342",12,"Bisection Model","exp2","DF","DurProb5","0.951576165373876","1200"
"343",13,"Bisection Model","exp2","DF","DurProb5","0.711379452528087","1200"
