"","cond","NSub","curDur","n","RP","prob"
"438","U-shaped",3,550,8,0,0
"439","U-shaped",3,700,8,0,0
"440","U-shaped",3,850,8,0,0
"441","U-shaped",3,1000,8,0,0
"442","U-shaped",3,1150,8,4,0.5
"443","U-shaped",3,1300,8,7,0.875
"444","U-shaped",3,1450,120,118,0.983333333333333
"445","U-shaped",4,400,120,1,0.00833333333333333
"446","U-shaped",4,550,8,0,0
"447","U-shaped",4,700,8,0,0
"448","U-shaped",4,850,8,3,0.375
"449","U-shaped",4,1000,8,7,0.875
"450","U-shaped",4,1150,8,8,1
"451","U-shaped",4,1300,8,8,1
"452","U-shaped",4,1450,120,118,0.983333333333333
"453","U-shaped",5,400,120,2,0.0166666666666667
"454","U-shaped",5,550,8,1,0.125
"455","U-shaped",5,700,8,1,0.125
"456","U-shaped",5,850,8,4,0.5
"457","U-shaped",5,1000,8,6,0.75
"458","U-shaped",5,1150,8,7,0.875
"459","U-shaped",5,1300,8,8,1
"460","U-shaped",5,1450,120,118,0.983333333333333
"461","U-shaped",6,400,120,0,0
"462","U-shaped",6,550,8,0,0
"463","U-shaped",6,700,8,3,0.375
"464","U-shaped",6,850,8,7,0.875
"465","U-shaped",6,1000,8,8,1
"466","U-shaped",6,1150,8,8,1
"467","U-shaped",6,1300,8,8,1
"468","U-shaped",6,1450,120,120,1
"469","U-shaped",7,400,120,1,0.00833333333333333
"470","U-shaped",7,550,8,0,0
"471","U-shaped",7,700,8,2,0.25
"472","U-shaped",7,850,8,3,0.375
"473","U-shaped",7,1000,8,5,0.625
"474","U-shaped",7,1150,8,6,0.75
"475","U-shaped",7,1300,8,7,0.875
"476","U-shaped",7,1450,120,119,0.991666666666667
"477","U-shaped",8,400,120,0,0
"478","U-shaped",8,550,8,0,0
"479","U-shaped",8,700,8,5,0.625
"480","U-shaped",8,850,8,5,0.625
"481","U-shaped",8,1000,8,7,0.875
"482","U-shaped",8,1150,8,8,1
"483","U-shaped",8,1300,8,8,1
"484","U-shaped",8,1450,120,120,1
"485","U-shaped",9,400,120,3,0.025
"486","U-shaped",9,550,8,0,0
"487","U-shaped",9,700,8,3,0.375
"488","U-shaped",9,850,8,7,0.875
"489","U-shaped",9,1000,8,8,1
"490","U-shaped",9,1150,8,8,1
"491","U-shaped",9,1300,8,8,1
"492","U-shaped",9,1450,120,120,1
"493","U-shaped",10,400,120,0,0
"494","U-shaped",10,550,8,0,0
"495","U-shaped",10,700,8,1,0.125
"496","U-shaped",10,850,8,1,0.125
"497","U-shaped",10,1000,8,6,0.75
"498","U-shaped",10,1150,8,8,1
"499","U-shaped",10,1300,8,7,0.875
"500","U-shaped",10,1450,120,117,0.975
"501","U-shaped",11,400,120,7,0.0583333333333333
"502","U-shaped",11,550,8,0,0
"503","U-shaped",11,700,8,4,0.5
"504","U-shaped",11,850,8,6,0.75
"505","U-shaped",11,1000,8,8,1
"506","U-shaped",11,1150,8,7,0.875
"507","U-shaped",11,1300,8,8,1
"508","U-shaped",11,1450,120,118,0.983333333333333
"509","U-shaped",12,400,120,2,0.0166666666666667
"510","U-shaped",12,550,8,1,0.125
"511","U-shaped",12,700,8,7,0.875
"512","U-shaped",12,850,8,6,0.75
"513","U-shaped",12,1000,8,8,1
"514","U-shaped",12,1150,8,8,1
"515","U-shaped",12,1300,8,8,1
"516","U-shaped",12,1450,120,118,0.983333333333333
"517","U-shaped",13,400,120,0,0
"518","U-shaped",13,550,8,0,0
"519","U-shaped",13,700,8,3,0.375
"520","U-shaped",13,850,8,3,0.375
"521","U-shaped",13,1000,8,7,0.875
"522","U-shaped",13,1150,8,8,1
"523","U-shaped",13,1300,8,8,1
"524","U-shaped",13,1450,120,119,0.991666666666667
"525","U-shaped",14,400,120,13,0.108333333333333
"526","U-shaped",14,550,8,1,0.125
"527","U-shaped",14,700,8,1,0.125
"528","U-shaped",14,850,8,7,0.875
"529","U-shaped",14,1000,8,7,0.875
"530","U-shaped",14,1150,8,7,0.875
"531","U-shaped",14,1300,8,8,1
"532","U-shaped",14,1450,120,114,0.95
"533","U-shaped",15,400,120,0,0
"534","U-shaped",15,550,8,0,0
"535","U-shaped",15,700,8,1,0.125
"536","U-shaped",15,850,8,4,0.5
"537","U-shaped",15,1000,8,6,0.75
"538","U-shaped",15,1150,8,8,1
"539","U-shaped",15,1300,8,8,1
"540","U-shaped",15,1450,120,120,1
"541","I T-shaped",1,400,8,0,0
"542","I T-shaped",1,550,8,0,0
"543","I T-shaped",1,700,8,0,0
"544","I T-shaped",1,850,120,22,0.183333333333333
"545","I T-shaped",1,1000,120,96,0.8
"546","I T-shaped",1,1150,8,8,1
"547","I T-shaped",1,1300,8,8,1
"548","I T-shaped",1,1450,8,8,1
"549","I T-shaped",2,400,8,0,0
"550","I T-shaped",2,550,8,0,0
"551","I T-shaped",2,700,8,0,0
"552","I T-shaped",2,850,120,53,0.441666666666667
"553","I T-shaped",2,1000,120,101,0.841666666666667
"554","I T-shaped",2,1150,8,7,0.875
"555","I T-shaped",2,1300,8,8,1
"556","I T-shaped",2,1450,8,8,1
"557","I T-shaped",3,400,8,0,0
"558","I T-shaped",3,550,8,0,0
"559","I T-shaped",3,700,8,0,0
"560","I T-shaped",3,850,120,63,0.525
"561","I T-shaped",3,1000,120,112,0.933333333333333
"562","I T-shaped",3,1150,8,8,1
"563","I T-shaped",3,1300,8,8,1
"564","I T-shaped",3,1450,8,8,1
"565","I T-shaped",4,400,8,0,0
"566","I T-shaped",4,550,8,0,0
"567","I T-shaped",4,700,8,0,0
"568","I T-shaped",4,850,120,32,0.266666666666667
"569","I T-shaped",4,1000,120,84,0.7
"570","I T-shaped",4,1150,8,8,1
"571","I T-shaped",4,1300,8,8,1
"572","I T-shaped",4,1450,8,8,1
"573","I T-shaped",5,400,8,0,0
"574","I T-shaped",5,550,8,0,0
"575","I T-shaped",5,700,8,1,0.125
"576","I T-shaped",5,850,120,35,0.291666666666667
"577","I T-shaped",5,1000,120,66,0.55
"578","I T-shaped",5,1150,8,4,0.5
"579","I T-shaped",5,1300,8,7,0.875
"580","I T-shaped",5,1450,8,8,1
"581","I T-shaped",6,400,8,0,0
"582","I T-shaped",6,550,8,0,0
"583","I T-shaped",6,700,8,0,0
"584","I T-shaped",6,850,120,52,0.433333333333333
"585","I T-shaped",6,1000,120,109,0.908333333333333
"586","I T-shaped",6,1150,8,8,1
"587","I T-shaped",6,1300,8,8,1
"588","I T-shaped",6,1450,8,8,1
"589","I T-shaped",7,400,8,0,0
"590","I T-shaped",7,550,8,0,0
"591","I T-shaped",7,700,8,0,0
"592","I T-shaped",7,850,120,11,0.0916666666666667
"593","I T-shaped",7,1000,120,42,0.35
"594","I T-shaped",7,1150,8,5,0.625
"595","I T-shaped",7,1300,8,8,1
"596","I T-shaped",7,1450,8,8,1
"597","I T-shaped",8,400,8,0,0
"598","I T-shaped",8,550,8,0,0
"599","I T-shaped",8,700,8,0,0
"600","I T-shaped",8,850,120,30,0.25
"601","I T-shaped",8,1000,120,93,0.775
"602","I T-shaped",8,1150,8,8,1
"603","I T-shaped",8,1300,8,8,1
"604","I T-shaped",8,1450,8,8,1
"605","I T-shaped",9,400,8,0,0
"606","I T-shaped",9,550,8,0,0
"607","I T-shaped",9,700,8,0,0
"608","I T-shaped",9,850,120,71,0.591666666666667
"609","I T-shaped",9,1000,120,109,0.908333333333333
"610","I T-shaped",9,1150,8,8,1
"611","I T-shaped",9,1300,8,8,1
"612","I T-shaped",9,1450,8,8,1
"613","I T-shaped",10,400,8,0,0
"614","I T-shaped",10,550,8,0,0
"615","I T-shaped",10,700,8,0,0
"616","I T-shaped",10,850,120,43,0.358333333333333
"617","I T-shaped",10,1000,120,97,0.808333333333333
"618","I T-shaped",10,1150,8,7,0.875
"619","I T-shaped",10,1300,8,8,1
"620","I T-shaped",10,1450,8,8,1
"621","I T-shaped",11,400,8,0,0
"622","I T-shaped",11,550,8,0,0
"623","I T-shaped",11,700,8,4,0.5
"624","I T-shaped",11,850,120,70,0.583333333333333
"625","I T-shaped",11,1000,120,96,0.8
"626","I T-shaped",11,1150,8,8,1
"627","I T-shaped",11,1300,8,8,1
"628","I T-shaped",11,1450,8,8,1
"629","I T-shaped",12,400,8,0,0
"630","I T-shaped",12,550,8,2,0.25
"631","I T-shaped",12,700,8,3,0.375
"632","I T-shaped",12,850,120,104,0.866666666666667
"633","I T-shaped",12,1000,120,113,0.941666666666667
"634","I T-shaped",12,1150,8,8,1
"635","I T-shaped",12,1300,8,8,1
"636","I T-shaped",12,1450,8,8,1
"637","I T-shaped",13,400,8,0,0
"638","I T-shaped",13,550,8,0,0
"639","I T-shaped",13,700,8,5,0.625
"640","I T-shaped",13,850,120,115,0.958333333333333
"641","I T-shaped",13,1000,120,120,1
"642","I T-shaped",13,1150,8,8,1
"643","I T-shaped",13,1300,8,8,1
"644","I T-shaped",13,1450,8,8,1
"645","I T-shaped",14,400,8,0,0
"646","I T-shaped",14,550,8,2,0.25
"647","I T-shaped",14,700,8,2,0.25
"648","I T-shaped",14,850,120,86,0.716666666666667
"649","I T-shaped",14,1000,120,114,0.95
"650","I T-shaped",14,1150,8,8,1
"651","I T-shaped",14,1300,8,8,1
"652","I T-shaped",14,1450,8,8,1
"653","I T-shaped",15,400,8,0,0
"654","I T-shaped",15,550,8,0,0
"655","I T-shaped",15,700,8,0,0
"656","I T-shaped",15,850,120,49,0.408333333333333
"657","I T-shaped",15,1000,120,103,0.858333333333333
"658","I T-shaped",15,1150,8,8,1
"659","I T-shaped",15,1300,8,8,1
"660","I T-shaped",15,1450,8,8,1
