"","xmean","xmeanhat","alphaMAP","betaMAP","PSEmap","JNDmap","NSub","model","cond","Exp","waic"
"386",1112,964.587184662827,3.00440872197939,8.78898150694612,634.85453607093,120.572256719945,11,"EDA","NS","exp1",98.092148592324
"387",1112,989.24388700146,1.53571038968352,12.8259609337985,870.797236256117,84.734040307711,12,"EDA","NS","exp1",98.092148592324
"388",1112,1054.51429557646,0.318621184959182,10.9337262865522,1023.78455297936,105.956773869617,13,"EDA","NS","exp1",98.092148592324
"389",1112,1010.84642748839,1.50183946127759,9.71026466086382,854.5037213815,114.366430368357,14,"EDA","NS","exp1",98.092148592324
"390",1112,1125.16371121627,-0.0818388653667017,10.3831275485317,1134.0321490783,119.050707422005,15,"EDA","NS","exp1",98.092148592324
"391",800,866.69618251079,1.12251430249646,11.409527924016,781.427197915938,83.4533280420727,1,"EDA","DF","exp2",60.0417454111772
"392",800,857.886401955312,1.60152256615495,9.00464166579449,705.306823231156,104.66652404943,2,"EDA","DF","exp2",60.0417454111772
"393",800,902.219701449275,1.60906861963809,14.1118881668989,799.346620791899,70.2379185101252,3,"EDA","DF","exp2",60.0417454111772
"394",800,841.126833684124,0.591758201912555,14.5667426946818,806.956963788431,63.4371249072207,4,"EDA","DF","exp2",60.0417454111772
"395",800,1036.37172007764,0.358899171409212,11.4670359877421,1003.93500739919,99.2907590525139,5,"EDA","DF","exp2",60.0417454111772
"396",800,1023.57041336418,-1.15814090581528,8.47576725309258,1163.43253207287,132.673184723032,6,"EDA","DF","exp2",60.0417454111772
"397",800,870.625154930675,0.757314350336796,12.0138387591004,815.74370223149,79.6148103207972,7,"EDA","DF","exp2",60.0417454111772
"398",800,895.059052803016,1.22263039114149,12.8884542490297,810.151555078402,76.2948648063873,8,"EDA","DF","exp2",60.0417454111772
"399",800,881.732931560384,1.33367177855399,11.8135683184918,782.191260886413,81.9974632405789,9,"EDA","DF","exp2",60.0417454111772
"400",800,832.174354490745,0.75813254554138,2.26791218413616,553.98965840004,403.118329956949,10,"EDA","DF","exp2",60.0417454111772
"401",800,907.81614402846,0.842560119624372,8.50066175087223,817.83612819839,117.324744932785,11,"EDA","DF","exp2",60.0417454111772
"402",800,889.342928276404,0.399255004156435,14.235250404935,864.399593637036,68.6354677333826,12,"EDA","DF","exp2",60.0417454111772
"403",800,755.060703805409,0.180902737576641,7.04207010775042,735.664056759164,117.794761369679,13,"EDA","DF","exp2",60.0417454111772
"404",800,810.720681789905,1.43678058704474,10.9835479647598,704.668635506799,81.0910742639306,14,"EDA","DF","exp2",60.0417454111772
"405",800,965.941257808076,0.357963964483576,11.37209138894,935.535930390507,93.3157235257144,15,"EDA","DF","exp2",60.0417454111772
"406",1200,1018.06567324483,1.12251430249646,12.1705839596738,924.167690791028,91.8985862144222,1,"EDA","AF","exp2",60.0417454111772
"407",1200,1078.05451926069,1.60152256615495,8.79013173365674,881.63782239475,134.737905938218,2,"EDA","AF","exp2",60.0417454111772
"408",1200,1012.84866784054,1.60906861963809,8.86458449123338,828.999891907931,125.525115604817,3,"EDA","AF","exp2",60.0417454111772
"409",1200,1121.28747669233,0.591758201912555,11.7767873667896,1064.94519586746,104.600699890166,4,"EDA","AF","exp2",60.0417454111772
"410",1200,1066.53135710341,0.358899171409212,10.8404381757325,1031.22123272087,108.086447814136,5,"EDA","AF","exp2",60.0417454111772
"411",1200,1282.4178435686,-1.15814090581528,8.74771090179862,1452.2017538575,161.056991705343,6,"EDA","AF","exp2",60.0417454111772
"412",1200,1130.69887831787,0.757314350336796,9.37485846928298,1039.359420846,132.50329981763,7,"EDA","AF","exp2",60.0417454111772
"413",1200,886.636305111476,1.22263039114149,12.6310587055366,800.813848119528,77.1170147398481,8,"EDA","AF","exp2",60.0417454111772
"414",1200,943.441355337838,1.33367177855399,12.9466028527891,846.254384775615,80.0577787391198,9,"EDA","AF","exp2",60.0417454111772
"415",1200,1217.7109858671,0.75813254554138,2.6268220959853,866.264905502511,509.281635465289,10,"EDA","AF","exp2",60.0417454111772
"416",1200,1132.444871971,0.842560119624372,8.11189086414652,1014.82089221393,153.369648756662,11,"EDA","AF","exp2",60.0417454111772
"417",1200,1066.88623721037,0.399255004156435,15.8581305879065,1040.02558886909,73.9112548173894,12,"EDA","AF","exp2",60.0417454111772
"418",1200,1283.81509607723,0.180902737576641,12.711573344349,1265.54468539468,110.955190417486,13,"EDA","AF","exp2",60.0417454111772
"419",1200,1121.19264885265,1.43678058704474,9.25094700305874,947.058278428073,133.149181547208,14,"EDA","AF","exp2",60.0417454111772
"420",1200,1108.07457926284,0.357963964483576,12.7706676741177,1077.01506229332,95.3234694225184,15,"EDA","AF","exp2",60.0417454111772
"421",925,967.225156208387,0.566578197000463,12.4219638486869,923.109049305052,85.5424677984223,1,"EDA","U-shaped","exp3",58.2584620737006
"422",925,870.987754310469,0.699868633603784,7.34254253615619,787.967873050917,130.319687690341,2,"EDA","U-shaped","exp3",58.2584620737006
"423",925,1152.29903007306,0.466182995920861,13.5240506394913,1112.57851819716,93.605821835803,3,"EDA","U-shaped","exp3",58.2584620737006
"424",925,950.162999072036,0.528187336607408,8.8061276314013,893.172675421355,118.53799884708,4,"EDA","U-shaped","exp3",58.2584620737006
"425",925,928.676844529459,0.405328356697092,7.33460289620815,877.355857609995,139.101708441372,5,"EDA","U-shaped","exp3",58.2584620737006
"426",925,804.082982679562,0.723468105717392,12.5728370746664,757.814317233246,70.260629373829,6,"EDA","U-shaped","exp3",58.2584620737006
"427",925,954.25735981988,0.437792913695802,7.60694807418917,899.338211444368,137.815961384993,7,"EDA","U-shaped","exp3",58.2584620737006
"428",925,847.82302784495,0.654602297383697,10.4190188551449,794.556313433732,89.3969777726554,8,"EDA","U-shaped","exp3",58.2584620737006
